Object No;Longitude;Latitude
1;106.875394;-6.168621
2;106.875467;-6.168597
3;106.865221;-6.186771
4;106.875563;-6.168573
5;106.872393;-6.181814
6;106.865269;-6.186761
7;106.875211;-6.170628
8;106.875168;-6.170773
9;106.875145;-6.170941
10;106.865058;-6.186806
11;106.865064;-6.186875
12;106.865061;-6.186875
13;106.875076;-6.171248
14;106.875189;-6.171376
15;106.864911;-6.186898
16;106.875031;-6.171441
17;106.865186;-6.186922
18;106.875003;-6.171565
19;106.872366;-6.181853
20;106.865032;-6.186948
21;106.872347;-6.181884
22;106.87233;-6.18191
23;106.864938;-6.186981
24;106.865206;-6.18701
25;106.865235;-6.186847
26;106.872299;-6.181946
27;106.872354;-6.182109
28;106.865313;-6.186827
29;106.872449;-6.182148
30;106.86534;-6.186949
31;106.872508;-6.182172
32;106.865274;-6.186982
33;106.872593;-6.182201
34;106.865294;-6.187031
35;106.872697;-6.182233
36;106.87277;-6.182249
37;106.872845;-6.18227
38;106.872936;-6.182292
39;106.86512;-6.187019
40;106.865073;-6.18703
41;106.873022;-6.182232
42;106.864959;-6.187066
43;106.873017;-6.182306
44;106.864983;-6.187158
45;106.873094;-6.182317
46;106.873188;-6.182242
47;106.865095;-6.187393
48;106.873179;-6.182332
49;106.874061;-6.172218
50;106.865167;-6.187373
51;106.87324;-6.182344
52;106.874001;-6.17246
53;106.865203;-6.187279
54;106.873329;-6.182356
55;106.874134;-6.172629
56;106.865282;-6.187263
57;106.873945;-6.172806
58;106.873435;-6.182372
59;106.865296;-6.187313
60;106.873927;-6.172982
61;106.87351;-6.18238
62;106.873892;-6.173136
63;106.865352;-6.18721
64;106.873855;-6.173262
65;106.865379;-6.187273
66;106.8736;-6.182389
67;106.873688;-6.182349
68;106.873684;-6.182228
69;106.873729;-6.182234
70;106.873777;-6.182402
71;106.87243;-6.181873
72;106.872603;-6.181926
73;106.872595;-6.181877
74;106.865356;-6.186588
75;106.865406;-6.186573
76;106.873824;-6.173442
77;106.872642;-6.18183
78;106.865435;-6.186563
79;106.865364;-6.186634
80;106.873796;-6.173554
81;106.872715;-6.18184
82;106.865467;-6.186634
83;106.873761;-6.17371
84;106.872736;-6.182077
85;106.873721;-6.173857
86;106.865489;-6.186577
87;106.873706;-6.173954
88;106.872741;-6.182039
89;106.873694;-6.174078
90;106.865536;-6.186561
91;106.872886;-6.181978
92;106.873659;-6.174205
93;106.865557;-6.186477
94;106.873828;-6.174242
95;106.872802;-6.181844
96;106.865508;-6.186627
97;106.873855;-6.174129
98;106.87277;-6.181841
99;106.873877;-6.173989
100;106.873919;-6.173849
101;106.873939;-6.173713
102;106.87292;-6.181918
103;106.865372;-6.186663
104;106.873971;-6.173605
105;106.8654;-6.186713
106;106.873997;-6.173473
107;106.872998;-6.181834
108;106.865526;-6.186718
109;106.874041;-6.173337
110;106.865622;-6.186658
111;106.873022;-6.181945
112;106.874071;-6.173229
113;106.865497;-6.186726
114;106.873082;-6.182058
115;106.874131;-6.172972
116;106.865517;-6.186782
117;106.865563;-6.186838
118;106.874155;-6.172845
119;106.873171;-6.182009
120;106.874191;-6.172702
121;106.874215;-6.172593
122;106.874241;-6.172461
123;106.865533;-6.186846
124;106.874242;-6.172337
125;106.873281;-6.181965
126;106.865548;-6.186894
127;106.865446;-6.186925
128;106.865623;-6.187162
129;106.873333;-6.181814
130;106.85259;-6.181384
131;106.873395;-6.182013
132;106.85243;-6.181367
133;106.873521;-6.182017
134;106.852472;-6.181364
135;106.852558;-6.181352
136;106.873553;-6.182061
137;106.873667;-6.182144
138;106.852593;-6.18135
139;106.87368;-6.182024
140;106.852657;-6.181376
141;106.865921;-6.185021
142;106.873733;-6.181884
143;106.852428;-6.181326
144;106.865918;-6.185083
145;106.852452;-6.181252
146;106.873817;-6.182038
147;106.866009;-6.185133
148;106.86606;-6.185134
149;106.873811;-6.182102
150;106.865915;-6.185133
151;106.873896;-6.181912
152;106.852449;-6.181216
153;106.865915;-6.185227
154;106.865917;-6.185283
155;106.865913;-6.185363
156;106.85244;-6.181172
157;106.866047;-6.185286
158;106.866049;-6.185226
159;106.873978;-6.181917
160;106.874032;-6.182221
161;106.874026;-6.18227
162;106.866119;-6.185225
163;106.874088;-6.182273
164;106.866121;-6.185372
165;106.87417;-6.182233
166;106.866217;-6.185285
167;106.874268;-6.182241
168;106.86622;-6.185234
169;106.874256;-6.182394
170;106.866201;-6.185201
171;106.866168;-6.185163
172;106.87435;-6.18188
173;106.8662;-6.185161
174;106.874564;-6.172285
175;106.874527;-6.172549
176;106.874504;-6.172678
177;106.866256;-6.185163
178;106.874662;-6.17279
179;106.866323;-6.185137
180;106.874545;-6.172882
181;106.874638;-6.172902
182;106.874671;-6.172936
183;106.866361;-6.185143
184;106.866404;-6.185153
185;106.866284;-6.185221
186;106.866281;-6.185264
187;106.866279;-6.185287
188;106.86639;-6.185298
189;106.866387;-6.185338
190;106.852479;-6.181324
191;106.852519;-6.181321
192;106.852684;-6.181544
193;106.865946;-6.185429
194;106.866028;-6.185534
195;106.852726;-6.181474
196;106.866082;-6.185531
197;106.866125;-6.185533
198;106.86595;-6.185541
199;106.866176;-6.185606
200;106.866239;-6.185607
201;106.866243;-6.185563
202;106.852559;-6.181316
203;106.852488;-6.181261
204;106.852494;-6.181176
205;106.852436;-6.181103
206;106.852433;-6.181053
207;106.85248;-6.181033
208;106.852494;-6.181097
209;106.852543;-6.18117
210;106.852543;-6.181221
211;106.866247;-6.185525
212;106.866288;-6.185487
213;106.866138;-6.185683
214;106.866068;-6.185718
215;106.86618;-6.185686
216;106.872652;-6.181886
217;106.872221;-6.182157
218;106.872247;-6.182228
219;106.872296;-6.182245
220;106.872208;-6.182216
221;106.872201;-6.182262
222;106.866103;-6.185719
223;106.872384;-6.1822
224;106.865989;-6.185717
225;106.872231;-6.182316
226;106.865989;-6.185781
227;106.872192;-6.182309
228;106.866094;-6.185847
229;106.872211;-6.182354
230;106.852587;-6.181304
231;106.872172;-6.182349
232;106.872165;-6.182405
233;106.872158;-6.182434
234;106.866084;-6.185945
235;106.872291;-6.182526
236;106.872364;-6.182481
237;106.866173;-6.185946
238;106.872447;-6.182225
239;106.866222;-6.185946
240;106.872463;-6.182326
241;106.872452;-6.182376
242;106.874407;-6.173104
243;106.865969;-6.185993
244;106.874541;-6.17313
245;106.874624;-6.173152
246;106.865974;-6.186035
247;106.874387;-6.1732
248;106.872532;-6.182398
249;106.865984;-6.186114
250;106.872613;-6.182429
251;106.874333;-6.173377
252;106.872659;-6.182385
253;106.874512;-6.173425
254;106.852629;-6.181349
255;106.874303;-6.173574
256;106.86613;-6.186187
257;106.874295;-6.173648
258;106.866169;-6.186138
259;106.85273;-6.181546
260;106.874481;-6.173688
261;106.866159;-6.186083
262;106.872719;-6.182449
263;106.866163;-6.186035
264;106.852766;-6.181421
265;106.872774;-6.182456
266;106.872806;-6.182462
267;106.866161;-6.185993
268;106.872897;-6.182416
269;106.872866;-6.182476
270;106.872927;-6.182497
271;106.872975;-6.182509
272;106.866164;-6.18611
273;106.873047;-6.182382
274;106.866174;-6.186187
275;106.873077;-6.182388
276;106.866041;-6.186194
277;106.873112;-6.182388
278;106.866126;-6.186301
279;106.873176;-6.182394
280;106.866173;-6.18629
281;106.873222;-6.182398
282;106.866201;-6.186286
283;106.873255;-6.182409
284;106.866078;-6.186375
285;106.866108;-6.186404
286;106.872413;-6.182494
287;106.866114;-6.186465
288;106.872485;-6.182385
289;106.872487;-6.182577
290;106.872589;-6.182496
291;106.865231;-6.185475
292;106.865273;-6.185595
293;106.872563;-6.182597
294;106.865353;-6.185619
295;106.872616;-6.182613
296;106.865382;-6.185447
297;106.872732;-6.182638
298;106.865407;-6.185521
299;106.865419;-6.185607
300;106.87281;-6.182658
301;106.872845;-6.182664
302;106.86551;-6.18551
303;106.86551;-6.185591
304;106.8729;-6.182678
305;106.865441;-6.185665
306;106.865286;-6.185637
307;106.872986;-6.182693
308;106.865337;-6.185692
309;106.873034;-6.182698
310;106.873078;-6.182705
311;106.865345;-6.18573
312;106.865453;-6.185762
313;106.873157;-6.182714
314;106.873192;-6.182721
315;106.865482;-6.18576
316;106.873238;-6.182728
317;106.873274;-6.182736
318;106.865351;-6.185779
319;106.852676;-6.181337
320;106.87331;-6.182703
321;106.865367;-6.185846
322;106.873399;-6.182681
323;106.865543;-6.18587
324;106.852676;-6.181281
325;106.873401;-6.182568
326;106.865596;-6.185814
327;106.852661;-6.181228
328;106.865593;-6.185759
329;106.852641;-6.18117
330;106.873482;-6.182437
331;106.865583;-6.185661
332;106.873514;-6.182449
333;106.873561;-6.182582
334;106.873603;-6.182584
335;106.873478;-6.182582
336;106.865614;-6.185618
337;106.852625;-6.18108
338;106.865608;-6.185573
339;106.873647;-6.182454
340;106.852555;-6.18108
341;106.86554;-6.185437
342;106.852531;-6.18101
343;106.873698;-6.182454
344;106.865547;-6.185509
345;106.852503;-6.180986
346;106.8656;-6.185492
347;106.852571;-6.180993
348;106.873754;-6.182454
349;106.865662;-6.185491
350;106.852557;-6.180956
351;106.873832;-6.182518
352;106.852612;-6.180909
353;106.865697;-6.185493
354;106.865697;-6.185562
355;106.873903;-6.182524
356;106.852676;-6.181113
357;106.852689;-6.181165
358;106.865702;-6.185651
359;106.873641;-6.182586
360;106.873637;-6.182632
361;106.873691;-6.182754
362;106.865745;-6.185753
363;106.852746;-6.181317
364;106.873747;-6.182764
365;106.865801;-6.185746
366;106.873804;-6.182769
367;106.873857;-6.182776
368;106.873915;-6.182743
369;106.873997;-6.182608
370;106.865673;-6.185823
371;106.865679;-6.185869
372;106.865741;-6.185859
373;106.874087;-6.182613
374;106.865803;-6.185854
375;106.865754;-6.185898
376;106.874174;-6.182621
377;106.865875;-6.185894
378;106.874626;-6.173853
379;106.874236;-6.182621
380;106.865901;-6.185849
381;106.874649;-6.173757
382;106.87427;-6.182797
383;106.865683;-6.185911
384;106.874532;-6.173645
385;106.874547;-6.173561
386;106.865603;-6.185865
387;106.87427;-6.182621
388;106.874556;-6.17347
389;106.865654;-6.185922
390;106.874567;-6.173374
391;106.874266;-6.182544
392;106.865611;-6.185939
393;106.874704;-6.173318
394;106.865388;-6.185909
395;106.865567;-6.185965
396;106.875012;-6.173065
397;106.87427;-6.182492
398;106.865456;-6.185987
399;106.874992;-6.173168
400;106.874964;-6.173268
401;106.86547;-6.186046
402;106.874268;-6.182574
403;106.865614;-6.186085
404;106.874949;-6.173362
405;106.865717;-6.186071
406;106.874934;-6.173458
407;106.873565;-6.182631
408;106.874916;-6.173538
409;106.865791;-6.18607
410;106.874902;-6.173626
411;106.865797;-6.186135
412;106.874858;-6.173805
413;106.865484;-6.186111
414;106.865496;-6.186181
415;106.865557;-6.186238
416;106.865583;-6.186374
417;106.86573;-6.186427
418;106.865855;-6.186342
419;106.865976;-6.186322
420;106.865905;-6.186272
421;106.865737;-6.186345
422;106.865699;-6.185421
423;106.865738;-6.185421
424;106.865787;-6.185534
425;106.86579;-6.185562
426;106.865871;-6.185555
427;106.865868;-6.185518
428;106.865876;-6.185463
429;106.86556;-6.184542
430;106.865563;-6.184641
431;106.865564;-6.184705
432;106.865567;-6.184758
433;106.865571;-6.184811
434;106.865624;-6.184882
435;106.865653;-6.184754
436;106.865707;-6.184727
437;106.865758;-6.184797
438;106.865714;-6.184801
439;106.865732;-6.184881
440;106.865807;-6.184796
441;106.865806;-6.184847
442;106.865753;-6.184727
443;106.865847;-6.184726
444;106.865889;-6.184647
445;106.86589;-6.184569
446;106.86578;-6.184521
447;106.865748;-6.184519
448;106.86571;-6.184518
449;106.865579;-6.184881
450;106.865579;-6.184921
451;106.865576;-6.184954
452;106.865579;-6.184987
453;106.865716;-6.184909
454;106.865846;-6.184999
455;106.865891;-6.184999
456;106.865891;-6.185035
457;106.865749;-6.185052
458;106.86575;-6.185118
459;106.865801;-6.185165
460;106.874878;-6.173912
461;106.865748;-6.185167
462;106.874906;-6.17377
463;106.874929;-6.173646
464;106.8658;-6.185234
465;106.874958;-6.173501
466;106.865799;-6.185289
467;106.874976;-6.173388
468;106.865863;-6.185281
469;106.875023;-6.17322
470;106.865717;-6.185287
471;106.875044;-6.173104
472;106.865682;-6.185286
473;106.865608;-6.185269
474;106.875369;-6.173096
475;106.875435;-6.173422
476;106.865648;-6.185259
477;106.875422;-6.173474
478;106.852734;-6.180994
479;106.865678;-6.185226
480;106.875396;-6.173569
481;106.852791;-6.180984
482;106.865678;-6.185189
483;106.875378;-6.173629
484;106.852845;-6.180884
485;106.865678;-6.185114
486;106.852929;-6.180868
487;106.865678;-6.185078
488;106.852864;-6.180969
489;106.852958;-6.18098
490;106.86589;-6.184606
491;106.865958;-6.18461
492;106.865884;-6.184758
493;106.865882;-6.18485
494;106.875353;-6.173729
495;106.866017;-6.184838
496;106.866102;-6.184839
497;106.875153;-6.174089
498;106.866096;-6.184882
499;106.866027;-6.184934
500;106.866086;-6.184934
501;106.86617;-6.184806
502;106.866181;-6.184741
503;106.866188;-6.184682
504;106.866076;-6.184678
505;106.86607;-6.184617
506;106.866025;-6.184618
507;106.866108;-6.184569
508;106.866185;-6.184566
509;106.86604;-6.184511
510;106.866162;-6.184874
511;106.866271;-6.184762
512;106.866271;-6.184721
513;106.866268;-6.184671
514;106.866342;-6.184777
515;106.866292;-6.184872
516;106.866334;-6.184869
517;106.86639;-6.184779
518;106.866445;-6.184783
519;106.866436;-6.184861
520;106.866433;-6.184935
521;106.866437;-6.185023
522;106.866491;-6.184938
523;106.866491;-6.184877
524;106.86652;-6.18486
525;106.86652;-6.18479
526;106.852829;-6.181072
527;106.86651;-6.18471
528;106.852857;-6.181048
529;106.852764;-6.181146
530;106.852857;-6.181136
531;106.874828;-6.172358
532;106.865085;-6.185058
533;106.865089;-6.185114
534;106.865164;-6.185201
535;106.865284;-6.185125
536;106.865296;-6.185186
537;106.865282;-6.18523
538;106.865273;-6.185259
539;106.865382;-6.185119
540;106.865379;-6.185174
541;106.865336;-6.185225
542;106.865311;-6.185294
543;106.865345;-6.185275
544;106.865179;-6.185306
545;106.865135;-6.185321
546;106.865159;-6.185363
547;106.865304;-6.185411
548;106.865353;-6.185409
549;106.865443;-6.185383
550;106.865438;-6.185341
551;106.865438;-6.185312
552;106.865496;-6.185314
553;106.86549;-6.185409
554;106.865534;-6.185376
555;106.865537;-6.185254
556;106.865498;-6.185245
557;106.865497;-6.185201
558;106.865439;-6.185202
559;106.865445;-6.185119
560;106.865447;-6.185049
561;106.865514;-6.185051
562;106.865005;-6.184849
563;106.865014;-6.184902
564;106.865017;-6.184953
565;106.865082;-6.185
566;106.865139;-6.184999
567;106.865129;-6.184943
568;106.865166;-6.184942
569;106.86521;-6.184943
570;106.865254;-6.184939
571;106.865298;-6.184938
572;106.865352;-6.184933
573;106.865163;-6.184838
574;106.865264;-6.184831
575;106.865372;-6.184827
576;106.865488;-6.184827
577;106.865458;-6.184899
578;106.865399;-6.1849
579;106.865451;-6.184994
580;106.865455;-6.184939
581;106.864872;-6.18449
582;106.864936;-6.184529
583;106.864946;-6.184555
584;106.864948;-6.184591
585;106.864951;-6.184637
586;106.865002;-6.184593
587;106.865014;-6.184643
588;106.865018;-6.184643
589;106.865061;-6.184557
590;106.865062;-6.184482
591;106.865125;-6.184574
592;106.865127;-6.184638
593;106.865152;-6.184581
594;106.865195;-6.184593
595;106.865198;-6.184634
596;106.865254;-6.184679
597;106.865352;-6.184637
598;106.865254;-6.184553
599;106.865304;-6.184558
600;106.865357;-6.184562
601;106.865356;-6.184514
602;106.8654;-6.184642
603;106.865443;-6.184643
604;106.865512;-6.184609
605;106.865508;-6.184531
606;106.86551;-6.184646
607;106.865355;-6.184678
608;106.86542;-6.184743
609;106.872042;-6.18281
610;106.865359;-6.184746
611;106.872654;-6.182665
612;106.872618;-6.182782
613;106.865258;-6.184777
614;106.872565;-6.182858
615;106.865165;-6.18469
616;106.872595;-6.182941
617;106.872665;-6.182957
618;106.86517;-6.184727
619;106.872754;-6.182829
620;106.865133;-6.184694
621;106.865099;-6.184726
622;106.865042;-6.184714
623;106.865164;-6.184129
624;106.865202;-6.184127
625;106.865247;-6.184287
626;106.865331;-6.18423
627;106.872778;-6.182976
628;106.86532;-6.184146
629;106.872864;-6.182896
630;106.865339;-6.184321
631;106.87287;-6.182845
632;106.865213;-6.184287
633;106.872874;-6.182717
634;106.865215;-6.184358
635;106.872853;-6.182982
636;106.865218;-6.184411
637;106.872936;-6.182905
638;106.865168;-6.184361
639;106.865095;-6.18441
640;106.87293;-6.18281
641;106.865218;-6.184474
642;106.865268;-6.184415
643;106.865259;-6.184357
644;106.872931;-6.183
645;106.87296;-6.183006
646;106.872999;-6.183016
647;106.873031;-6.183022
648;106.873128;-6.182937
649;106.873604;-6.174489
650;106.873698;-6.174504
651;106.873204;-6.183042
652;106.873757;-6.174617
653;106.873257;-6.183044
654;106.873873;-6.174638
655;106.873586;-6.174776
656;106.873538;-6.174877
657;106.86534;-6.184386
658;106.873533;-6.174993
659;106.873509;-6.175108
660;106.865341;-6.184473
661;106.873482;-6.175221
662;106.86542;-6.184471
663;106.873295;-6.183048
664;106.873443;-6.175344
665;106.852793;-6.181242
666;106.873391;-6.182944
667;106.873619;-6.175381
668;106.852844;-6.181237
669;106.873672;-6.17532
670;106.873766;-6.175341
671;106.865572;-6.184445
672;106.852814;-6.181292
673;106.865616;-6.184445
674;106.852854;-6.181284
675;106.873847;-6.175432
676;106.852754;-6.181372
677;106.873888;-6.175322
678;106.873304;-6.182896
679;106.865659;-6.184494
680;106.873883;-6.175158
681;106.852813;-6.181322
682;106.873313;-6.182785
683;106.865753;-6.184435
684;106.874029;-6.175026
685;106.852862;-6.181324
686;106.865785;-6.184435
687;106.852811;-6.181356
688;106.873868;-6.174997
689;106.852861;-6.181356
690;106.873986;-6.174769
691;106.873223;-6.182896
692;106.873859;-6.174725
693;106.865783;-6.184362
694;106.874001;-6.174657
695;106.874025;-6.174568
696;106.873892;-6.17456
697;106.865732;-6.184363
698;106.852806;-6.181418
699;106.852862;-6.181388
700;106.865765;-6.184297
701;106.852862;-6.181416
702;106.852781;-6.181541
703;106.865764;-6.184268
704;106.852864;-6.181464
705;106.852868;-6.181534
706;106.865762;-6.184233
707;106.852935;-6.181532
708;106.853002;-6.181513
709;106.865718;-6.184146
